id,keiei-pos,keiei-neu,keiei-neg,risk-pos,risk-neu,risk-neg,money-pos,money-neu,money-neg,contract-pos,contract-neu,contract-neg,reserch-pos,reserch-neu,reserch-neg
197,0.04,0.95,0.01,0.04,0.95,0.01,0.02,0.98,0.0,0.2,0.71,0.09,0.01,0.99,0.0
198,0.05,0.93,0.02,0.06,0.93,0.01,0.06,0.93,0.01,0.06,0.93,0.01,0.01,0.99,0.0
199,0.06,0.92,0.02,0.04,0.95,0.01,0.04,0.95,0.01,0.01,0.99,0.0,0.05,0.94,0.01
200,0.01,0.99,0.0,0.01,0.98,0.01,0.07,0.91,0.02,0.2,0.71,0.09,0.03,0.96,0.01
201,0.03,0.96,0.01,0.03,0.96,0.01,0.02,0.97,0.01,0.05,0.94,0.01,0.04,0.95,0.01
202,0.05,0.94,0.01,0.03,0.97,0.0,0.02,0.97,0.01,0.0,0.99,0.01,0.08,0.91,0.01
203,0.02,0.98,0.0,0.02,0.98,0.0,0.01,0.98,0.01,0.03,0.97,0.0,0.0,1.0,0.0
204,0.09,0.91,0.0,0.05,0.94,0.01,0.01,0.99,0.0,0.01,0.99,0.0,0.21,0.67,0.12
205,0.04,0.95,0.01,0.05,0.95,0.0,0.02,0.98,0.0,0.0,1.0,0.0,0.04,0.94,0.02
206,0.05,0.95,0.0,0.01,0.99,0.0,0.05,0.94,0.01,0.0,1.0,0.0,0.01,0.99,0.0
207,0.03,0.97,0.0,0.02,0.98,0.0,0.02,0.98,0.0,0.21,0.67,0.12,0.21,0.67,0.12
208,0.06,0.93,0.01,0.04,0.95,0.01,0.03,0.97,0.0,0.21,0.67,0.12,0.21,0.67,0.12
209,0.04,0.96,0.0,0.04,0.96,0.0,0.02,0.97,0.01,0.02,0.97,0.01,0.07,0.92,0.01
210,0.03,0.97,0.0,0.04,0.95,0.01,0.01,0.99,0.0,0.2,0.71,0.09,0.04,0.95,0.01
211,0.03,0.97,0.0,0.03,0.97,0.0,0.04,0.95,0.01,0.0,1.0,0.0,0.05,0.94,0.01
212,0.05,0.95,0.0,0.04,0.96,0.0,0.02,0.98,0.0,0.0,1.0,0.0,0.15,0.81,0.04
213,0.06,0.93,0.01,0.04,0.96,0.0,0.03,0.96,0.01,0.0,1.0,0.0,0.06,0.93,0.01
214,0.03,0.96,0.01,0.1,0.87,0.03,0.04,0.95,0.01,0.01,0.99,0.0,0.08,0.91,0.01
215,0.03,0.97,0.0,0.06,0.93,0.01,0.04,0.96,0.0,0.01,0.99,0.0,0.21,0.67,0.12
216,0.06,0.93,0.01,0.02,0.98,0.0,0.03,0.97,0.0,0.03,0.96,0.01,0.03,0.96,0.01
217,0.06,0.93,0.01,0.02,0.98,0.0,0.02,0.97,0.01,0.0,1.0,0.0,0.05,0.94,0.01
218,0.01,0.99,0.0,0.03,0.97,0.0,0.04,0.95,0.01,0.06,0.93,0.01,0.03,0.96,0.01
219,0.02,0.97,0.01,0.03,0.94,0.03,0.05,0.94,0.01,0.21,0.67,0.12,0.21,0.67,0.12
220,0.03,0.96,0.01,0.05,0.94,0.01,0.01,0.99,0.0,0.0,1.0,0.0,0.09,0.9,0.01
221,0.04,0.96,0.0,0.03,0.97,0.0,0.02,0.98,0.0,0.2,0.71,0.09,0.21,0.67,0.12
222,0.03,0.97,0.0,0.03,0.97,0.0,0.02,0.97,0.01,0.12,0.84,0.04,0.05,0.95,0.0
223,0.09,0.9,0.01,0.05,0.93,0.02,0.04,0.95,0.01,0.0,1.0,0.0,0.08,0.91,0.01
224,0.09,0.88,0.03,0.08,0.9,0.02,0.06,0.92,0.02,0.06,0.92,0.02,0.09,0.88,0.03
