id,stock_2015,stock_2016,stock_2017,stock_2018
162,,1171.1,1187.54,1271.08
163,2581.39,1874.09,2236.43,2033.38
164,1859.75,2084.84,2392.01,2373.17
165,3390.45,2480.7,2936.82,3068.45
166,2416.56,2291.65,3865.12,3276.63
167,6363.77,6138.44,8866.67,8220.48
168,1155.7,927.16,1209.53,1265.85
169,2441.68,2957.63,3744.39,5983.85
170,1007.06,945.08,1029.95,1002.77
171,1541.19,2026.88,3379.13,3790.0
172,548.32,467.4,546.68,435.51
173,1085.87,990.35,1273.65,1164.02
174,743.41,762.46,1295.35,1642.92
175,8302.46,9513.77,8506.27,7508.79
176,1123.24,1182.08,3142.11,5199.22
177,3073.58,2749.92,3103.79,3125.3
178,1024.6,1191.31,2285.7,1583.62
179,958.78,885.26,1042.91,823.95
180,4934.25,8203.44,15984.99,14787.69
181,2637.13,2137.78,2728.73,2704.55
182,1284.66,1108.84,1380.66,1197.46
183,1677.61,1475.38,1562.88,1927.8
184,3819.35,3565.44,4141.34,5306.75
185,800.0,416.0,468.0,568.0
186,2621.87,3152.06,3839.19,3545.04
187,753.25,510.11,653.14,662.19
188,9520.06,8640.19,9956.26,9955.21
189,2455.69,2448.63,3009.46,3159.01
190,1457.41,1578.05,1948.46,1788.14
191,1845.63,1752.72,1926.38,2338.85
192,254.91,254.81,990.64,1921.89
193,18711.9,17009.03,19395.21,22999.99
194,2457.64,3191.05,4761.8,4091.51
195,862.81,715.72,774.79,1092.67
196,1163.73,1295.44,1899.73,2453.25
197,1816.06,1538.6,2218.01,2237.58
198,4435.23,4234.22,5629.05,4310.01
199,1566.82,1225.83,1383.63,1350.35
200,932.45,850.46,1207.31,971.89
201,475.81,380.1,571.71,818.84
202,1563.81,1443.46,1721.33,1553.1
203,1896.89,2319.5,2428.51,4789.66
204,1646.72,1281.87,1839.14,2241.67
205,4979.0,5532.79,6320.37,8683.8
206,6878.71,5879.66,7327.92,7429.65
207,2229.02,2178.88,3468.19,4124.0
208,650.35,447.93,618.12,549.91
209,1208.66,825.72,1398.45,1626.62
210,1137.85,1266.13,2076.96,1516.39
211,3049.92,2975.4,3902.23,4325.38
212,3070.97,2552.12,3999.7,3631.7
213,2292.38,2846.34,3704.12,3627.54
214,3975.75,3385.74,4007.84,3437.68
215,1748.18,1331.66,1503.12,1663.79
216,1422.49,1391.1,2052.14,2453.64
217,365.75,357.91,514.55,800.34
218,2355.76,2747.45,2759.97,2776.3
219,2745.79,2496.07,3321.51,3539.73
220,432.64,336.56,447.52,436.46
221,3059.35,2895.53,4093.37,4565.25
222,6240.3,6770.05,7227.95,11255.24
223,3513.75,3631.49,4655.61,4672.82
224,408.52,376.16,480.9,378.2
