id,年,月,17業種コード,33業種コード,規模コード,売上高,収益,経常利益,営業利益,当期純利益,税引前利益,包括利益,純資産額,総資産額,現金及び現金同等物の期末残高,従業員数,最低株価,最高株価,株主総利回り,株主資本比率,株価収益率,発行済株式総数,自己資本利益率,自己資本比率,財務活動によるキャッシュ・フロー,営業活動によるキャッシュ・フロー,投資活動によるキャッシュ・フロー,基本的1株当たり当期利益,基本的1株当たり親会社の所有者に帰属する当期利益,希薄化後１株当たり当期利益,希薄化後１株当たり当社株主に帰属する当期純利益,１株当たり当期純利益,１株当たり当社株主に帰属する当期純利益,１株当たり株主資本,１株当たり潜在株式調整後当期純利益金額,１株当たり純資産額,１株当たり親会社所有者帰属持分,１株当たり配当額親会社の所有者に帰属する当期利益,親会社の所有者に帰属する当期包括利益,親会社の所有者に帰属する持分,親会社所有者帰属持分当期利益率,親会社所有者帰属持分比率,親会社株主に帰属する当期純利益,資本金,配当性向
100,2018,3,7,3500,4,519215.0,,11239.0,,,,-1065.0,178652.0,518705.0,22377.0,12276.0,,,,,,,-0.4,32.4,-4114.0,52436.0,-40376.0,,,,,-12.4,,,,,,,,,,,,,
100,2019,3,7,3500,4,497701.0,,17755.0,,,,5066.0,179673.0,523315.0,21524.0,12498.0,,,34.56,,,,2.8,32.5,2873.0,40696.0,-44843.0,,,,,82.15,,,,,,,,,,,,,
101,2015,3,7,3500,4,1517265.0,,81093.0,,,,120954.0,629514.0,1898157.0,92079.0,23413.0,,,9.4,,,,11.1,29.0,-42273.0,108070.0,-42366.0,,,,,428.5,,,,,,,,,,,,,
101,2016,3,7,3500,4,1417895.0,,72442.0,,,,19664.0,645017.0,1793375.0,58482.0,24636.0,,,6.8,,,,11.1,31.0,-120477.0,118685.0,-29982.0,,,,,468.03,,,,,,,,,,,,,
101,2017,3,7,3500,4,1304068.0,,63925.0,,,,68723.0,710195.0,1896939.0,132616.0,24859.0,,,15.6,,,,4.8,32.8,-15703.0,115552.0,-26557.0,,,,,216.44,,,,,,,,,,,,,
101,2018,3,7,3500,4,1599533.0,,79621.0,,,,80068.0,768495.0,2011067.0,87355.0,26959.0,,,12.1,,,,5.3,33.9,-11034.0,50715.0,-83957.0,,,,,264.15,,,,,,,,,,,,,
101,2019,3,7,3500,4,1662990.0,,50679.0,,,,-30756.0,723337.0,1938270.0,99672.0,28426.0,,,294.6,,,,0.2,32.7,-47613.0,140168.0,-86238.0,,,,,9.92,,,,,,,,,,,,,
102,2015,3,12,5200,4,,204362.0,14456.0,,,,28422.0,263089.0,433041.0,43276.0,4452.0,,,36.0,,,,3.7,60.2,1638.0,20691.0,-20562.0,,,,,104.25,,,,,,,,,,,,,
102,2016,3,12,5200,4,,206831.0,14025.0,,,,-3494.0,257524.0,413264.0,45658.0,4499.0,,,27.7,,,,3.6,61.7,-7927.0,17246.0,-7032.0,,,,,106.73,,,,,,,,,,,,,
102,2017,3,12,5200,4,,208718.0,16056.0,,,,21553.0,276870.0,435354.0,36921.0,4419.0,,,25.2,,,,4.0,63.0,-7819.0,21466.0,-22270.0,,,,,121.75,,,,,,,,,,,,,
102,2018,3,12,5200,4,,215407.0,16160.0,,,,20344.0,294550.0,462031.0,39580.0,4463.0,,,18.8,,,,3.7,63.1,3419.0,21481.0,-22219.0,,,,,120.07,,,,,,,,,,,,,
102,2019,3,12,5200,4,,227185.0,17333.0,,,,7122.0,299104.0,482575.0,42972.0,4466.0,,,23.4,,,,3.9,61.4,12066.0,23352.0,-31786.0,,,,,132.03,,,,,,,,,,,,,
103,2015,3,13,6050,1,1209894.0,7669489.0,,,,,686900.0,,16774366.0,1725189.0,71994.0,,,9.82,,,,,,-305334.0,798264.0,-154852.0,,246.39,,245.83,,,,,,3437.75,,,5570477.0,7.5,33.2,400574.0,,
